Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Signatureglobal","https://scanx.trade/company/signature.ltd","1,068.30","0.10%","1,067.00","3,26,094","14,995.30","116.73","0.52","1,524.00","988.00","-5.94%","-14.16%","-28.06%","132.97%","132.97%","20.70","-","-126.98%","6.71%","2.15","1,089.96","1,162.21","50.63","50.00%","75.00%"
"Zydus Wellness","https://scanx.trade/company/zydus-wellness-ltd","460.90","-1.98%","472.20","2,13,813","14,959.90","44.80","19.84","530.90","298.64","-10.62%","9.63%","15.97%","35.07%","27.98%","2.58","0.26%","4.98%","6.51%","47.81","451.78","389.58","48.58","71.60%","80.00%"
"IFCI","https://scanx.trade/company/ifci-ltd","54.62","-1.62%","55.30","39,13,837","14,958.80","29.54","-83.00","74.50","36.20","-7.44%","-11.97%","-9.40%","466.01%","841.72%","1.69","-","-1.80%","6.49%","0.53","54.86","53.36","44.85","0.00%","65.00%"
"Great Eastern Shipping Company","https://scanx.trade/company/great-eastern-shipping-company-ltd","1,034.50","-1.00%","1,046.90","1,34,518","14,919.20","7.24","28.07","1,365.00","797.50","-1.26%","3.95%","-21.45%","98.45%","342.28%","1.03","2.87%","21.09%","16.61%","199.62","996.37","950.54","53.51","67.97%","80.00%"
"Elgi Equipments","https://scanx.trade/company/elgi-equipments-ltd","465.75","-1.02%","472.85","1,67,754","14,912.20","40.69","40.40","681.95","401.00","-5.80%","-15.87%","-29.87%","8.59%","316.78%","7.91","0.47%","19.36%","26.14%","10.23","489.33","503.86","40.64","60.00%","75.00%"
"International Gemmological Institute","https://scanx.trade/company/international-gemmological-institute-(india)-ltd","336.95","-1.32%","342.90","4,04,739","14,756.10","29.63","22.25","642.30","282.00","-12.78%","-13.76%","-28.48%","-28.48%","-28.48%","11.74","0.73%","-","49.46%","-","351.59","395.75","40.04","60.00%","70.00%"
"Bata","https://scanx.trade/company/bata-india-ltd","1,150.30","0.23%","1,160.00","1,68,640","14,751.10","70.90","30.90","1,479.00","1,025.10","-8.64%","-6.40%","-19.84%","-37.49%","-17.10%","9.39","1.65%","17.19%","19.23%","27.57","1,176.07","1,237.16","42.22","73.50%","80.00%"
"Nuvoco Vistas Corporation","https://scanx.trade/company/nuvoco-vistas-corp-ltd","410.95","-0.47%","412.40","2,58,121","14,747.00","53.72","36.76","477.50","287.05","-7.80%","7.68%","13.49%","6.02%","-22.71%","1.60","-","1.64%","4.05%","3.80","442.03","369.46","37.06","71.10%","80.00%"
"Natco Pharma","https://scanx.trade/company/natco-pharma-ltd","826.20","0.53%","824.90","9,01,682","14,720.10","8.73","55.26","1,505.00","726.80","-3.62%","-20.00%","-40.53%","38.79%","-9.92%","1.95","0.73%","14.68%","30.12%","91.37","855.37","934.56","46.63","66.12%","80.00%"
"Leela Palaces Hotels & Resorts","https://scanx.trade/company/schloss-bangalore-ltd","441.65","0.65%","439.60","2,88,308","14,654.10","57.39","327.73","474.40","382.50","3.19%","-2.20%","1.40%","1.40%","1.40%","2.40","-","-","7.24%","-","425.31","-","54.74","60.00%","80.00%"
"Paradeep Phosphates","https://scanx.trade/company/paradeep-phosphates-ltd","177.99","-0.76%","179.22","32,41,438","14,641.20","18.11","35.32","234.39","83.25","3.12%","4.15%","97.68%","183.20%","305.44%","3.56","0.56%","8.68%","22.66%","2.76","196.41","151.73","43.51","62.50%","78.55%"
"Supreme Petrochem","https://scanx.trade/company/supreme-petrochem-ltd","776.70","0.12%","775.00","41,009","14,587.30","41.79","21.47","979.00","518.05","-3.57%","-6.18%","0.34%","110.07%","489.17%","6.55","1.29%","17.16%","22.53%","21.23","796.52","712.67","41.26","68.39%","-"
"Transformers & Rectifiers","https://scanx.trade/company/transformers-rectifiers-ltd","484.15","-0.09%","484.10","4,39,779","14,546.00","55.23","28.99","1,297.80","356.00","-8.50%","-6.05%","-42.90%","1,724.92%","10,658.89%","11.60","0.04%","-","24.24%","-","502.69","492.99","40.94","50.00%","70.00%"
"RR Kabel","https://scanx.trade/company/rrkabel.ltd","1,263.20","-1.12%","1,279.00","69,331","14,446.80","42.44","25.63","1,792.00","853.55","2.25%","-13.59%","-27.18%","5.44%","5.44%","6.64","0.47%","16.30%","20.77%","25.49","1,237.44","1,214.76","51.80","60.00%","75.00%"
"Niva Bupa Health Insurance Company","https://scanx.trade/company/niva-bupa-health-insurance-company-ltd","75.91","-2.65%","77.88","20,04,829","14,392.90","99.95","24.21","109.34","68.54","-7.04%","-16.36%","2.55%","2.55%","2.55%","4.56","-","-","-6.79%","-","81.52","81.03","30.37","60.00%","75.00%"
"LT Foods","https://scanx.trade/company/daawat-lt-foods-ltd","419.20","1.33%","415.00","8,35,361","14,365.90","23.29","19.84","518.55","288.25","-9.27%","-17.65%","0.44%","120.81%","120.81%","3.78","0.72%","15.11%","20.34%","17.54","435.02","413.08","49.63","63.59%","80.00%"
"Sundaram Finance Holdings","https://scanx.trade/company/sundaram-finance-holdings-ltd","639.45","-0.98%","647.20","1,65,544","14,342.40","30.86","24.21","701.50","240.00","1.23%","24.37%","80.43%","579.90%","1,180.18%","2.53","0.91%","4.01%","2.03%","25.79","558.79","406.96","55.82","62.82%","50.00%"
"PCBL Chemical","https://scanx.trade/company/pcbl-ltd","362.00","-4.45%","382.00","24,79,975","14,300.20","39.18","25.66","504.80","331.00","-7.75%","-14.29%","-24.71%","160.06%","422.37%","3.53","1.52%","15.11%","13.26%","13.24","383.08","393.92","36.11","65.02%","80.00%"
"Trident","https://scanx.trade/company/trident-ltd","27.92","-0.50%","28.02","27,66,644","14,299.30","32.47","18.89","40.20","23.11","-6.81%","-12.31%","-21.70%","-22.12%","264.97%","3.08","1.29%","8.11%","10.23%","0.65","28.49","29.15","40.18","67.46%","80.00%"
"Usha Martin","https://scanx.trade/company/usha-martin-ltd","455.30","-2.78%","467.20","3,04,900","14,271.10","34.44","11.46","488.35","278.55","13.22%","17.85%","8.68%","236.14%","2,003.00%","5.05","0.66%","17.79%","18.22%","14.02","408.06","350.73","54.79","65.84%","80.00%"
"IndiaMART InterMesh","https://scanx.trade/company/indiamart-intermesh-ltd","2,344.10","-0.51%","2,350.10","59,188","14,144.80","23.83","22.25","3,074.95","1,900.10","-8.10%","-10.76%","-22.84%","7.21%","-3.32%","6.43","2.13%","19.24%","24.49%","60.84","2,500.15","2,338.95","39.12","60.00%","75.00%"
"Minda Corporation","https://scanx.trade/company/minda-corporation-ltd","568.50","-2.50%","581.25","2,87,792","13,939.50","53.00","79.58","606.90","445.05","6.91%","5.96%","7.02%","183.75%","741.60%","6.18","0.25%","11.37%","13.79%","10.30","529.61","524.98","53.74","67.22%","80.00%"
"KSB","https://scanx.trade/company/ksb-ltd","807.20","1.28%","801.50","78,310","13,870.90","54.68","55.95","912.00","582.25","-7.07%","-8.33%","-9.33%","105.45%","762.30%","9.15","0.50%","16.03%","21.55%","12.51","819.63","770.59","45.96","50.00%","80.00%"
"Granules","https://scanx.trade/company/granules-india-ltd","569.55","-0.10%","570.50","7,27,221","13,834.50","28.75","55.26","628.00","422.00","4.30%","13.35%","-4.19%","62.68%","45.40%","3.71","0.26%","12.57%","17.96%","20.30","512.60","510.85","66.83","74.22%","80.00%"
"Sammaan Capital","https://scanx.trade/company/indiabulls-housing-finance-ltd","166.76","-0.08%","166.80","1,05,98,955","13,824.50","-7.67","17.41","170.25","97.61","23.46%","27.37%","18.42%","-14.00%","-14.00%","0.63","1.20%","6.50%","3.96%","25.15","138.88","130.72","69.32","50.00%","75.00%"
"Fine Organic Industries","https://scanx.trade/company/fine-organic-industries-ltd","4,520.70","0.44%","4,501.00","15,049","13,800.10","33.47","25.66","5,494.00","3,407.00","-8.06%","-16.77%","-11.55%","-35.84%","63.62%","6.04","0.24%","21.44%","24.27%","138.88","4,747.97","4,526.90","39.41","50.00%","75.00%"
"Jupiter Wagons","https://scanx.trade/company/commercial-eng-co-ltd","319.20","-1.07%","323.00","6,32,329","13,696.40","42.40","-43.20","588.00","270.05","-7.85%","-13.62%","-38.95%","334.88%","2,147.89%","4.98","0.41%","20.29%","19.60%","8.50","331.25","365.18","36.33","60.83%","80.00%"
"Aarti Industries","https://scanx.trade/company/aarti-industries-ltd","374.80","-0.46%","376.60","4,87,906","13,653.50","57.30","25.66","537.45","344.20","-3.95%","-17.86%","-28.04%","-45.50%","-11.85%","2.42","0.27%","7.87%","7.62%","13.35","382.00","420.68","43.06","74.84%","80.00%"
"Waaree Renewable Technologies","https://scanx.trade/company/sangam-renewables-ltd","1,269.80","-3.04%","1,302.00","44,90,047","13,652.10","37.82","22.13","1,338.00","841.15","13.01%","7.22%","48.30%","48.30%","48.30%","20.11","0.08%","-","62.17%","-","1,066.89","-","66.12","50.00%","70.00%"
"Intellect Design Arena","https://scanx.trade/company/intellect-design-arena-ltd","966.25","-0.66%","980.00","1,97,216","13,528.80","38.01","16.13","1,255.00","577.40","-5.92%","-19.32%","10.94%","84.47%","308.13%","4.82","0.72%","13.17%","15.28%","22.02","980.15","931.37","45.10","50.00%","75.00%"
"Swan Corp","https://scanx.trade/company/swan-energy-ltd","427.10","-0.71%","430.00","4,69,582","13,483.30","21.11","45.55","809.80","362.20","-8.00%","-15.77%","-20.69%","104.40%","205.07%","1.97","0.02%","-1.63%","15.18%","9.61","452.33","471.58","36.28","50.00%","70.00%"
"Ami Organics","https://scanx.trade/company/acutaas-chemicals-ltd","1,646.90","6.02%","1,559.90","20,45,230","13,483.00","60.18","58.93","1,582.70","726.63","11.68%","36.27%","106.44%","250.07%","252.28%","10.29","0.09%","14.02%","16.51%","15.13","1,417.99","1,209.13","78.80","50.00%","70.00%"
"Belrise Industries","https://scanx.trade/company/belrise-industries-ltd","149.83","-0.70%","150.98","21,40,774","13,426.50","33.72","79.58","164.50","89.15","-2.95%","23.37%","53.81%","53.81%","53.81%","2.75","0.27%","-","16.84%","-","147.58","-","45.82","60.00%","70.00%"
"Rainbow Childrens Medicare","https://scanx.trade/company/rainbow-childrens-medicare-ltd","1,348.80","2.41%","1,331.00","5,54,044","13,375.30","53.04","33.16","1,709.60","1,218.00","-7.43%","-12.13%","-7.12%","104.29%","199.60%","9.33","0.22%","17.26%","18.08%","21.23","1,446.18","1,428.37","41.78","60.00%","70.00%"
"BLS International Services","https://scanx.trade/company/bls-international-service-ltd","326.80","0.71%","320.00","3,99,36,752","13,361.00","22.43","16.13","521.80","276.95","-11.66%","-15.39%","-13.81%","104.31%","1,590.64%","7.78","0.31%","24.40%","27.33%","8.70","357.18","383.24","46.23","50.00%","65.00%"
"Cello World","https://scanx.trade/company/cello-world-ltd","600.85","-0.20%","602.05","99,738","13,298.40","37.37","34.94","886.60","494.75","-3.83%","-5.04%","-31.41%","-24.11%","-24.11%","6.14","0.25%","26.00%","20.25%","15.22","582.76","600.65","53.19","50.00%","75.00%"
"Cemindia Projects","https://scanx.trade/company/itd-cementation-india-ltd","772.60","0.11%","764.10","1,93,449","13,257.70","32.37","0.52","944.00","476.60","-6.46%","-5.98%","32.74%","553.64%","1,429.90%","7.25","0.26%","18.30%","36.04%","18.73","776.14","668.35","45.29","62.97%","80.00%"
"Blue Dart Express","https://scanx.trade/company/blue-dart-express-ltd","5,571.00","-0.12%","5,580.00","8,953","13,234.30","53.37","26.68","9,034.95","5,365.00","-3.07%","-19.16%","-32.97%","-35.61%","79.65%","8.49","0.45%","22.02%","18.32%","123.54","5,720.68","6,246.59","43.28","69.94%","80.00%"
"NCC","https://scanx.trade/company/ncc-nagarjuna-construction-company-ltd","206.35","-1.64%","210.00","19,75,887","13,171.00","15.25","0.52","326.45","170.05","-4.36%","-9.89%","-33.56%","194.79%","522.47%","1.77","1.07%","9.96%","23.70%","12.23","212.33","219.21","45.00","71.80%","80.00%"
"Bombay Burmah Trading","https://scanx.trade/company/bombay-burmah-trading-ltd","1,999.70","5.93%","1,896.00","32,65,482","13,170.80","6.27","79.58","2,944.00","1,607.05","2.13%","-1.65%","-24.45%","122.91%","64.06%","2.48","0.85%","26.15%","37.06%","165.89","1,861.82","1,914.07","64.89","65.39%","80.00%"
"Cyient","https://scanx.trade/company/cyient-ltd","1,170.70","-0.84%","1,109.00","21,36,258","13,114.90","21.19","16.13","2,112.00","1,084.05","-7.13%","-9.70%","-37.02%","53.62%","195.93%","2.34","2.22%","15.42%","15.30%","63.07","1,190.04","1,312.38","48.01","73.33%","80.00%"
"Le Travenues Technology (IXIGO)","https://scanx.trade/company/le-travenues-technology-ixigo-ltd","331.30","-1.27%","335.10","37,49,676","13,100.00","225.03","42.20","339.15","117.00","22.23%","55.09%","105.71%","79.22%","79.22%","7.49","-","6.04%","12.97%","1.27","285.39","193.15","64.12","60.00%","70.00%"
"Indegene","https://scanx.trade/company/indegene-ltd","542.65","0.52%","543.90","2,34,931","12,963.90","29.90","22.25","735.00","499.00","-7.37%","-5.84%","-20.34%","-4.95%","-4.95%","4.98","0.37%","23.56%","20.33%","14.81","564.85","575.42","41.24","60.00%","65.00%"
"Lemon Tree Hotels","https://scanx.trade/company/lemon-tree-hotels-ltd","166.12","1.56%","164.00","24,51,461","12,958.80","48.58","327.73","180.68","112.50","-4.44%","7.17%","32.05%","99.54%","510.74%","11.31","-","9.94%","13.58%","1.83","164.83","146.00","49.54","67.71%","80.00%"
"Home First Finance Company","https://scanx.trade/company/home-first-finance-company-ltd","1,213.90","-2.35%","1,246.00","68,610","12,873.60","30.41","17.41","1,519.00","878.40","-4.93%","-12.86%","1.09%","45.33%","130.10%","3.33","0.27%","14.41%","10.08%","36.43","1,250.74","1,170.68","44.77","66.23%","80.00%"
"Action Construction Equipment","https://scanx.trade/company/action-construction-equipment-ltd","1,086.40","0.89%","1,077.00","1,15,044","12,822.90","30.59","-43.20","1,600.00","917.45","-4.22%","-5.46%","-21.76%","294.70%","1,437.72%","7.97","0.18%","26.65%","35.46%","28.95","1,072.08","1,188.10","49.45","50.00%","65.00%"
"Anupam Rasayan","https://scanx.trade/company/anupam-rasayan-india-ltd","1,064.70","-5.46%","1,129.30","14,77,379","12,821.60","54.22","25.66","1,197.00","601.00","-3.63%","-7.45%","47.11%","46.79%","102.11%","3.78","0.07%","8.65%","8.96%","8.55","1,108.29","935.66","41.66","70.84%","80.00%"
"Mahanagar Gas","https://scanx.trade/company/mahanagar-gas-ltd","1,282.30","-1.21%","1,306.50","2,47,857","12,821.40","11.85","22.25","1,795.70","1,075.25","-5.82%","-15.79%","-27.23%","61.31%","55.14%","2.15","2.34%","24.86%","21.64%","121.15","1,301.41","1,339.97","45.84","74.26%","80.00%"
"Kirloskar Oil Engines","https://scanx.trade/company/kirloskar-oil-engines-ltd","890.10","1.01%","881.10","1,70,823","12,801.10","28.23","108.13","1,248.85","544.40","-6.32%","-5.12%","-26.13%","211.39%","748.12%","4.19","0.73%","16.53%","16.14%","33.13","911.85","839.52","46.26","60.00%","70.00%"
"NMDC Steel","https://scanx.trade/company/nmdc-steel-ltd","42.98","-1.53%","43.64","31,53,733","12,792.10","-","26.31","50.60","32.13","-5.18%","9.17%","-13.75%","35.37%","35.37%","-","-","-","-14.38%","-","42.63","39.26","43.03","50.00%","65.00%"
"Embassy Developments","https://scanx.trade/company/indiabulls-real-estate-ltd","92.76","-0.94%","93.77","32,54,305","12,789.80","-281.06","0.52","163.69","89.22","-5.50%","-20.94%","-27.97%","-37.74%","-37.74%","1.23","-","-16.57%","3.63%","-","95.97","112.73","43.61","50.00%","75.00%"
"Aavas Financiers","https://scanx.trade/company/aavas-financiers-ltd","1,605.80","-0.11%","1,607.40","49,454","12,726.00","25.91","17.41","2,234.00","1,516.90","-2.66%","-16.70%","-7.07%","-21.78%","7.01%","3.37","-","13.00%","8.96%","61.97","1,633.35","1,780.84","44.16","69.88%","80.00%"
"Godrej Agrovet","https://scanx.trade/company/godrej-agrovet-ltd","657.45","-0.25%","661.70","1,57,691","12,676.40","30.08","19.84","876.35","648.20","-10.29%","-16.60%","-15.93%","29.17%","22.95%","5.31","1.67%","12.31%","20.74%","20.26","727.30","749.73","32.12","68.81%","80.00%"
"Tega Industries","https://scanx.trade/company/tega-industries-ltd","1,885.60","-0.62%","1,900.00","1,73,927","12,623.80","63.14","-43.20","2,328.90","1,200.05","-10.59%","-0.71%","1.34%","245.47%","159.71%","8.98","0.11%","16.27%","18.43%","31.44","1,931.66","1,626.26","41.09","66.05%","70.00%"
"Black Buck","https://scanx.trade/company/zinka-logistics-solutions-ltd","694.35","0.27%","690.00","4,99,254","12,503.30","-3,473.25","22.25","720.50","248.35","14.56%","57.88%","167.01%","167.01%","167.01%","10.14","-","-","-21.99%","-","613.42","475.96","66.83","50.00%","-"
"Newgen Software Technologies","https://scanx.trade/company/newgen-software-technologies-ltd","872.05","-0.63%","877.55","1,95,685","12,433.00","38.85","16.13","1,798.90","758.20","-1.42%","-14.97%","-29.92%","140.86%","681.76%","8.12","0.57%","20.56%","25.22%","19.17","885.85","1,060.93","46.09","50.00%","75.00%"
"Vikram Solar","https://scanx.trade/company/vikram-solar-ltd","334.75","-2.09%","346.90","1,15,20,303","12,367.10","32.60","28.99","407.95","312.50","-3.89%","-6.07%","-6.07%","-6.07%","-6.07%","4.11","-","-","25.93%","-","-","-","48.94","-","70.00%"
"Jaiprakash Power Ventures","https://scanx.trade/company/jaiprakash-power-ventures-ltd","17.91","-0.56%","18.04","1,45,77,227","12,274.50","16.59","7.04","27.70","12.36","-5.98%","-21.21%","-10.00%","135.66%","696.00%","1.45","-","8.91%","10.06%","2.30","18.54","16.90","44.37","36.00%","75.00%"
"Jindal SAW","https://scanx.trade/company/jindal-saw-ltd","190.64","-5.29%","202.58","41,38,749","12,191.60","10.87","26.31","378.15","196.02","-9.52%","-16.73%","-47.96%","362.94%","513.98%","1.07","1.05%","17.00%","21.55%","57.92","204.67","233.12","33.26","60.00%","80.00%"
"Welspun Living","https://scanx.trade/company/welspun-india-ltd","121.67","-4.26%","125.90","24,85,361","12,188.90","21.63","45.55","180.70","104.80","-4.99%","-12.59%","-24.74%","-23.45%","-23.45%","2.45","0.14%","4.83%","15.28%","7.25","118.46","131.41","51.71","50.00%","75.00%"
"Zen Technologies","https://scanx.trade/company/zen-technologies-ltd","1,376.60","1.99%","1,355.70","4,47,973","12,186.50","45.55","22.25","2,627.00","945.35","-10.85%","-26.03%","-27.46%","604.68%","1,642.53%","7.31","0.15%","15.13%","23.07%","18.54","1,463.52","1,646.56","38.40","50.00%","70.00%"
"Elecon Engineering Company","https://scanx.trade/company/elecon-engineering-company-ltd","541.40","-0.30%","540.05","3,12,054","12,186.00","23.48","-43.20","739.10","376.95","-13.83%","-10.86%","-24.96%","222.93%","4,535.27%","5.41","0.37%","22.17%","25.09%","15.86","573.70","563.65","39.07","60.00%","70.00%"
"India Cements","https://scanx.trade/company/india-cements-ltd","391.90","-0.53%","396.90","1,70,952","12,144.90","-36.24","3.55","412.80","238.85","-3.56%","11.73%","8.14%","67.91%","228.78%","2.48","-","-2.91%","0.66%","-","385.79","333.57","52.26","66.29%","80.00%"
"Finolex Cables","https://scanx.trade/company/finolex-cables-ltd","782.90","-1.09%","796.65","2,05,315","12,105.10","19.32","25.63","1,345.95","780.00","-8.05%","-17.46%","-40.39%","68.51%","187.04%","2.18","1.02%","11.54%","15.60%","48.07","829.76","912.57","31.05","65.84%","80.00%"
"RITES","https://scanx.trade/company/rites-ltd","248.38","-1.30%","251.02","3,15,643","12,094.40","28.15","22.25","318.55","192.40","-8.99%","-10.51%","-19.53%","30.93%","104.77%","4.52","3.04%","21.00%","19.48%","17.74","256.72","254.04","40.95","63.05%","80.00%"
"Indian Energy Exchange","https://scanx.trade/company/indian-energy-exchange-ltd","134.18","-0.45%","134.79","46,75,489","12,019.10","26.41","22.25","215.40","130.26","-9.61%","-34.78%","-29.81%","-3.50%","100.51%","10.67","2.23%","36.08%","47.66%","4.17","141.23","170.02","32.41","75.00%","65.00%"
"Railtel Corporation of India","https://scanx.trade/company/railtel-corporation-of-india-ltd","368.15","-1.23%","371.00","6,51,768","11,963.00","81.09","23.52","478.95","265.50","-8.17%","-10.43%","-14.54%","244.39%","203.38%","6.86","0.60%","11.47%","14.28%","5.84","367.11","363.12","44.47","60.66%","79.92%"
"GR Infraprojects","https://scanx.trade/company/grinfra.ltd","1,178.10","-4.55%","1,224.00","1,02,112","11,942.20","10.37","0.52","1,682.00","901.00","-10.75%","-7.97%","-26.94%","-3.64%","-32.57%","1.35","1.06%","23.21%","13.49%","98.89","1,264.29","1,211.32","32.37","50.00%","100.00%"
